authorChannelId,authorDisplayName,videoId,videoTitle
UC--3U4HR-Kcu1Ec6o1kFrJQ,@Brilliant-k2k,AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide"
UC--uW-FBcOWmhw-cMSt1KaQ,@leelunk8235,HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia
UC-2A0OpBB8jKeJAPU7mcoaA,@ziggybadans,FSOnKtQa-j8,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis)
UC-3Xy-QD4sA1_eoeXzRPljw,@MrJigarercivil,HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia
UC-3aet-JMsBxLowKAPibrmw,@Gauthstar,iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne"
UC-4Jl0pcBiu-ciMfH18aWOw,@Conchobhar,FJbmy95XZCk,9 Things You SHOULD KNOW Before Moving to Melbourne | Moving to Australia
UC-7KFI3UoP8J19ujOEYrGRQ,@tonyrandall3146,iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne"
UC-7Lf9M49TOd7I7dTIJ6kIg,@Cerberous1020,MzgZV6CKDL4,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity
UC-BGFxuvDzbNXkRIe_MRxTw,@ryanthompson591,HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia
UC-BocqubNAx5O4BDYa2rrmg,@geovani.santos,ea14oVK8XLw,Sydney and Melbourne Compared
UC-CJEaokYHbd7RWVvwzg1uw,@rustyhands8179,YJotR0AltBI,Australians Are Quietly Fleeing Melbourne: Still Liveable?
UC-CeAKCFYy0Er12SqFF0xbQ,@therandomidiotontheinternet,MzgZV6CKDL4,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity
UC-EB_xr4tfD2CXLtRdiH-JQ,@ivyzhu1972,PROvfUw9o3o,SYDNEY TRAINS VS MELBOURNE TRAINS
UC-H8pcqO5vcdgWIwPODzoBw,@MysticJewel43,HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia
UC-HVpCak2uTOzw2hj8ZVEvA,@NabtabWrizz,2SvmQgb5S74,LIVING IN SYDNEY VS MELBOURNE AUSTRALIA: Lifestyle Comparison
UC-I8_re94UDJ51rbB2pceMg,@AdamTheTangelaBoi,iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne"
UC-Ilajh4CqmPcqiPb5xaDMQ,@carolinewhiteside3631,aUJBIrElRSk,🇦🇺 What Makes MELBOURNE Better Than SYDNEY In AUSTRALIA? 🤔
UC-J1B1Io6n5b6-vFXExqjtw,@alNange,HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia
UC-LEfCLsnY-DZhAdwykQYIQ,@gracelim5417,AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide"
UC-LPPapGNuQdlqJhUSqozBg,@EvelynBissinger,ea14oVK8XLw,Sydney and Melbourne Compared
UC-M4fP6DVvDb7mX9LxfSfAQ,@MIG29-SMT,x3tHUfo05Ds,Melbourne or Sydney? Which AUSTRALIAN City is Better? | ft. Origin LumbarCloud Review
UC-N5-u5-KQ8x2Y4pdYF4vcA,@x2minecraft536,ea14oVK8XLw,Sydney and Melbourne Compared
UC-Nkg95_7i1jHJ7Pxcpkc2g,@Qwertropolis,PROvfUw9o3o,SYDNEY TRAINS VS MELBOURNE TRAINS
