dominant_topic,label,n,mean_compound,positive,neutral,negative
0,General liveability,842,0.3761805225653207,64.25178147268409,25.29691211401425,10.451306413301662
1,City comparison,1556,0.34478560411311054,65.23136246786633,18.637532133676093,16.131105398457585
2,Transport,1058,0.18733761814744804,50.75614366729678,24.574669187145556,24.669187145557654
3,Cost of living,1099,0.10432265696087352,44.5859872611465,26.2056414922657,29.208371246587806
4,Identity debate,1077,0.1811719591457753,51.81058495821726,20.334261838440113,27.85515320334262
5,Creator replies,1051,0.4768496669838249,75.45195052331113,13.701236917221692,10.846812559467175
